subject_area,date,aggregationType
Food Science,2022,Journal
Medicine (all),2021,Journal
Pharmaceutical Science,2022,Journal
Drug Discovery,2022,Journal
Geophysics,2020,Journal
Geochemistry and Petrology,2020,Journal
"Radiology, Nuclear Medicine and Imaging",2021,Journal
Genetics,2021,Journal
Genetics (clinical),2021,Journal
Dentistry (all),2022,Journal
Neurology,2023,Journal
Neurology (clinical),2023,Journal
Behavioral Neuroscience,2023,Journal
Cardiology and Cardiovascular Medicine,2019,Journal
Dentistry (all),2020,Journal
Chemistry (all),2021,Journal
Chemical Engineering (all),2021,Journal
"Renewable Energy, Sustainability and the Environment",2021,Journal
Environmental Science (all),2021,Journal
Strategy and Management,2021,Journal
Industrial and Manufacturing Engineering,2021,Journal
Aquatic Science,2018,Journal
Veterinary (miscellaneous),2018,Journal
Surgery,2021,Journal
Oral Surgery,2021,Journal
Pathology and Forensic Medicine,2021,Journal
Otorhinolaryngology,2021,Journal
Neurology,2022,Journal
Neurology (clinical),2022,Journal
Orthodontics,2022,Journal
Oral Surgery,2022,Journal
"Electronic, Optical and Magnetic Materials",2022,Journal
Mechanics of Materials,2022,Journal
Industrial and Manufacturing Engineering,2022,Journal
Electrical and Electronic Engineering,2022,Journal
"Pediatrics, Perinatology and Child Health",2023,Journal
"Public Health, Environmental and Occupational Health",2023,Journal
Psychiatry and Mental Health,2023,Journal
Forestry,2020,Journal
Agronomy and Crop Science,2020,Journal
Computer Science Applications,2020,Journal
Horticulture,2020,Journal
Ceramics and Composites,2022,Journal
Civil and Structural Engineering,2022,Journal
Building and Construction,2022,Journal
Mechanics of Materials,2022,Journal
Mechanical Engineering,2022,Journal
Health Professions (all),2021,Journal
"Geography, Planning and Development",2022,Journal
Economics and Econometrics,2022,Journal
Pulmonary and Respiratory Medicine,2020,Journal
Health Policy,2020,Journal
"Public Health, Environmental and Occupational Health",2020,Journal
Education,2023,Journal
Social Psychology,2022,Journal
Economics and Econometrics,2022,Journal
Computer Science (all),2022,Journal
Materials Science (all),2022,Journal
Engineering (all),2022,Journal
Surgery,2023,Journal
Oral Surgery,2023,Journal
Otorhinolaryngology,2023,Journal
Multidisciplinary,2022,Journal
Aquatic Science,2020,Journal
Biochemistry,2019,Journal
Molecular Medicine,2019,Journal
Molecular Biology,2019,Journal
Pharmaceutical Science,2019,Journal
Drug Discovery,2019,Journal
Clinical Biochemistry,2019,Journal
Organic Chemistry,2019,Journal
Chemistry (all),2018,Journal
Chemical Engineering (all),2018,Journal
Microbiology (medical),2020,Journal
Infectious Diseases,2020,Journal
Catalysis,2021,Journal
Environmental Science (all),2021,Journal
Physical and Theoretical Chemistry,2021,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Building and Construction,2022,Journal
Fuel Technology,2022,Journal
Engineering (miscellaneous),2022,Journal
Energy Engineering and Power Technology,2022,Journal
Energy (miscellaneous),2022,Journal
Control and Optimization,2022,Journal
Electrical and Electronic Engineering,2022,Journal
Agronomy and Crop Science,2018,Journal
Genetics,2018,Journal
Plant Science,2018,Journal
Analytical Chemistry,2018,Journal
Multidisciplinary,2020,Journal
Oral Surgery,2019,Journal
Chemistry (all),2018,Journal
Condensed Matter Physics,2018,Journal
Physics and Astronomy (all),2018,Journal
Surfaces and Interfaces,2018,Journal
"Surfaces, Coatings and Films",2018,Journal
Biotechnology,2019,Journal
Biophysics,2019,Journal
Biomedical Engineering,2019,Journal
Electrochemistry,2019,Journal
Environmental Engineering,2018,Journal
Environmental Chemistry,2018,Journal
Chemical Engineering (all),2018,Journal
"Renewable Energy, Sustainability and the Environment",2018,Journal
Water Science and Technology,2018,Journal
Waste Management and Disposal,2018,Journal
Environmental Science (all),2018,Journal
Social Sciences (all),2023,Journal
Neurology (clinical),2023,Journal
Psychiatry and Mental Health,2022,Journal
"Electronic, Optical and Magnetic Materials",2020,Journal
Catalysis,2020,Journal
Ceramics and Composites,2020,Journal
Chemistry (all),2020,Journal
"Surfaces, Coatings and Films",2020,Journal
Metals and Alloys,2020,Journal
Materials Chemistry,2020,Journal
Chemical Engineering (all),2021,Journal
Fuel Technology,2021,Journal
Energy Engineering and Power Technology,2021,Journal
Instrumentation,2023,Journal
Computer Networks and Communications,2023,Journal
Control and Optimization,2023,Journal
"Ecology, Evolution, Behavior and Systematics",2022,Journal
Genetics,2022,Journal
Computer Science Applications,2022,Journal
Otorhinolaryngology,2018,Journal
Dentistry (all),2018,Journal
Obstetrics and Gynecology,2021,Journal
Physiology,2019,Journal
Nephrology,2019,Journal
Urology,2019,Journal
Physiology (medical),2019,Journal
Surgery,2023,Journal
Pulmonary and Respiratory Medicine,2023,Journal
Cardiology and Cardiovascular Medicine,2023,Journal
Transplantation,2023,Journal
Immunology and Microbiology (all),2019,Journal
Veterinary (all),2019,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Fuel Technology,2022,Journal
Condensed Matter Physics,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Catalysis,2022,Journal
Chemical Engineering (miscellaneous),2022,Journal
Process Chemistry and Technology,2022,Journal
Toxicology,2022,Journal
Environmental Science (all),2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Computer Science (all),2020,Journal
Materials Science (all),2020,Journal
Engineering (all),2020,Journal
Catalysis,2021,Journal
Chemistry (all),2021,Journal
Earth and Planetary Sciences (all),2019,Journal
Environmental Engineering,2020,Journal
Waste Management and Disposal,2020,Journal
"Management, Monitoring, Policy and Law",2020,Journal
Endocrinology,2020,Journal
Urology,2020,Journal
Dentistry (all),2021,Journal
Chemistry (all),2019,Journal
Cardiology and Cardiovascular Medicine,2018,Journal
Food Science,2022,Journal
Microbiology,2022,Journal
Health (social science),2022,Journal
Health Professions (miscellaneous),2022,Journal
Plant Science,2022,Journal
"Endocrinology, Diabetes and Metabolism",2019,Journal
Orthopedics and Sports Medicine,2019,Journal
"Radiology, Nuclear Medicine and Imaging",2019,Journal
Materials Science (all),2021,Journal
Engineering (all),2021,Journal
Multidisciplinary,2020,Journal
"Pediatrics, Perinatology and Child Health",2022,Journal
Civil and Structural Engineering,2020,Journal
Building and Construction,2020,Journal
Pollution,2020,Journal
Mechanical Engineering,2020,Journal
Industrial and Manufacturing Engineering,2020,Journal
Electrical and Electronic Engineering,2020,Journal
Immunology and Allergy,2019,Journal
Immunology,2019,Journal
Computer Science (all),2021,Journal
Materials Science (all),2021,Journal
Engineering (all),2021,Journal
Engineering (all),2022,Journal
Biophysics,2020,Journal
"Radiology, Nuclear Medicine and Imaging",2020,Journal
Physics and Astronomy (all),2020,Journal
Materials Science (all),2023,Journal
Energy (all),2020,Journal
Environmental Engineering,2019,Journal
Water Science and Technology,2019,Journal
Biochemistry,2022,Journal
Molecular Biology,2022,Journal
Dermatology,2022,Journal
Oncology,2021,Journal
Cancer Research,2021,Journal
Multidisciplinary,2020,Journal
Medicine (miscellaneous),2021,Journal
Nutrition and Dietetics,2021,Journal
Nephrology,2021,Journal
Pharmacy,2021,Journal
Pharmaceutical Science,2021,Journal
Microbiology,2018,Journal
"Ecology, Evolution, Behavior and Systematics",2018,Journal
Dentistry (all),2022,Journal
"Electronic, Optical and Magnetic Materials",2021,Journal
Catalysis,2021,Journal
Ceramics and Composites,2021,Journal
Chemistry (all),2021,Journal
"Surfaces, Coatings and Films",2021,Journal
Metals and Alloys,2021,Journal
Materials Chemistry,2021,Journal
"Geography, Planning and Development",2020,Journal
Biochemistry,2020,Journal
Aquatic Science,2020,Journal
Water Science and Technology,2020,Journal
Small Animals,2018,Journal
Food Animals,2018,Journal
Animal Science and Zoology,2018,Journal
Equine,2018,Journal
Multidisciplinary,2020,Journal
"Renewable Energy, Sustainability and the Environment",2019,Journal
Nuclear Energy and Engineering,2019,Journal
Fuel Technology,2019,Journal
Energy Engineering and Power Technology,2019,Journal
Geotechnical Engineering and Engineering Geology,2018,Journal
Ecology,2022,Journal
Multidisciplinary,2021,Journal
Biotechnology,2022,Journal
Animal Science and Zoology,2022,Journal
Endocrinology,2022,Journal
Medicine (all),2020,Journal
Aging,2022,Journal
Arts and Humanities (miscellaneous),2022,Journal
Psychology (all),2022,Journal
Geriatrics and Gerontology,2022,Journal
Computer Science (miscellaneous),2023,Journal
"Geography, Planning and Development",2023,Journal
"Renewable Energy, Sustainability and the Environment",2023,Journal
Environmental Science (miscellaneous),2023,Journal
Energy Engineering and Power Technology,2023,Journal
Hardware and Architecture,2023,Journal
Computer Networks and Communications,2023,Journal
"Management, Monitoring, Policy and Law",2023,Journal
Materials Science (all),2022,Journal
Instrumentation,2022,Journal
Engineering (all),2022,Journal
Process Chemistry and Technology,2022,Journal
Computer Science Applications,2022,Journal
Fluid Flow and Transfer Processes,2022,Journal
Surgery,2023,Journal
Oral Surgery,2023,Journal
Otorhinolaryngology,2023,Journal
Neuroscience (all),2018,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2018,Journal
Agricultural and Biological Sciences (all),2018,Journal
Immunology and Allergy,2019,Journal
Immunology,2019,Journal
Engineering (all),2022,Journal
Cardiology and Cardiovascular Medicine,2021,Journal
Geotechnical Engineering and Engineering Geology,2019,Journal
Computer Science Applications,2019,Journal
Software,2019,Conference Proceeding
Human-Computer Interaction,2019,Conference Proceeding
Computer Vision and Pattern Recognition,2019,Conference Proceeding
Computer Networks and Communications,2019,Conference Proceeding
Medicine (all),2020,Journal
Biotechnology,2021,Journal
Biophysics,2021,Journal
Biomedical Engineering,2021,Journal
Electrochemistry,2021,Journal
Dentistry (all),2020,Journal
"Public Health, Environmental and Occupational Health",2021,Journal
Infectious Diseases,2021,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Energy Engineering and Power Technology,2022,Journal
Electrical and Electronic Engineering,2022,Journal
Cardiology and Cardiovascular Medicine,2022,Journal
Physiology (medical),2022,Journal
Health Policy,2020,Journal
Materials Science (all),2022,Journal
Condensed Matter Physics,2022,Journal
Biochemistry,2023,Journal
Molecular Medicine,2023,Journal
Molecular Biology,2023,Journal
Organic Chemistry,2023,Journal
Health Policy,2023,Journal
Infectious Diseases,2023,Journal
Pharmacology (medical),2023,Journal
Engineering (all),2021,Journal
Molecular Medicine,2020,Journal
Immunology and Microbiology (all),2020,Journal
Veterinary (all),2020,Journal
"Public Health, Environmental and Occupational Health",2020,Journal
Infectious Diseases,2020,Journal
Food Science,2021,Journal
Microbiology,2021,Journal
Health (social science),2021,Journal
Health Professions (miscellaneous),2021,Journal
Plant Science,2021,Journal
"Radiology, Nuclear Medicine and Imaging",2023,Journal
"Pediatrics, Perinatology and Child Health",2019,Journal
Microbiology (medical),2019,Journal
Infectious Diseases,2019,Journal
Medicine (all),2021,Journal
"Economics, Econometrics and Finance (all)",2018,Book
"Business, Management and Accounting (all)",2018,Book
Pathology and Forensic Medicine,2020,Journal
Otorhinolaryngology,2020,Journal
Oncology,2020,Journal
Nursing (all),2020,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Genetics,2021,Journal
Health Informatics,2021,Journal
Biotechnology,2020,Journal
Chemical Engineering (all),2020,Journal
"Renewable Energy, Sustainability and the Environment",2020,Journal
Fuel Technology,2020,Journal
Waste Management and Disposal,2020,Journal
Pollution,2020,Journal
Organic Chemistry,2020,Journal
Inorganic Chemistry,2020,Journal
Forestry,2021,Journal
Agronomy and Crop Science,2021,Journal
Computer Science Applications,2021,Journal
Horticulture,2021,Journal
Organic Chemistry,2019,Journal
Polymers and Plastics,2019,Journal
Materials Chemistry,2019,Journal
Parasitology,2020,Journal
Infectious Diseases,2020,Journal
Agronomy and Crop Science,2021,Journal
Neuroscience (all),2023,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2023,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2023,Journal
Catalysis,2023,Journal
"Electronic, Optical and Magnetic Materials",2023,Journal
Biomaterials,2023,Journal
Polymers and Plastics,2023,Journal
Colloid and Surface Chemistry,2023,Journal
Materials Chemistry,2023,Journal
"Renewable Energy, Sustainability and the Environment",2020,Journal
Microbiology,2021,Journal
"Ecology, Evolution, Behavior and Systematics",2021,Journal
Environmental Engineering,2020,Journal
Agronomy and Crop Science,2020,Journal
Water Science and Technology,2020,Journal
Physiology (medical),2022,Journal
Veterinary (all),2019,Journal
Oncology,2023,Journal
Cancer Research,2023,Journal
Hematology,2020,Journal
Analytical Chemistry,2021,Journal
Chemistry (miscellaneous),2021,Journal
Molecular Medicine,2021,Journal
Pharmaceutical Science,2021,Journal
Drug Discovery,2021,Journal
Physical and Theoretical Chemistry,2021,Journal
Organic Chemistry,2021,Journal
Psychiatry and Mental Health,2018,Journal
Biological Psychiatry,2018,Journal
Surfaces and Interfaces,2023,Journal
Physical and Theoretical Chemistry,2023,Journal
Colloid and Surface Chemistry,2023,Journal
Development,2021,Journal
History,2021,Journal
Sociology and Political Science,2021,Journal
Political Science and International Relations,2021,Journal
Pathology and Forensic Medicine,2022,Journal
Otorhinolaryngology,2022,Journal
Dentistry (all),2022,Journal
Biotechnology,2020,Journal
Food Science,2020,Journal
Chemistry (all),2020,Journal
Industrial and Manufacturing Engineering,2020,Journal
Multidisciplinary,2021,Journal
Statistics and Probability,2023,Journal
Information Systems,2023,Journal
Education,2023,Journal
Computer Science Applications,2023,Journal
"Statistics, Probability and Uncertainty",2023,Journal
Library and Information Sciences,2023,Journal
Cardiology and Cardiovascular Medicine,2023,Journal
Anatomy,2019,Journal
Surgery,2019,Journal
Pathology and Forensic Medicine,2019,Journal
Food Science,2021,Journal
Multidisciplinary,2023,Journal
Molecular Medicine,2022,Journal
Immunology and Microbiology (all),2022,Journal
Veterinary (all),2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
"Radiology, Nuclear Medicine and Imaging",2021,Journal
Orthodontics,2021,Journal
Health Policy,2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Physics and Astronomy (all),2020,Conference Proceeding
Biochemistry,2020,Journal
Molecular Medicine,2020,Journal
Molecular Biology,2020,Journal
Pharmaceutical Science,2020,Journal
Drug Discovery,2020,Journal
Clinical Biochemistry,2020,Journal
Organic Chemistry,2020,Journal
Food Science,2020,Journal
"Endocrinology, Diabetes and Metabolism",2020,Journal
Nutrition and Dietetics,2020,Journal
Immunology and Allergy,2021,Journal
Otorhinolaryngology,2021,Journal
Catalysis,2021,Journal
Chemistry (all),2021,Journal
Process Chemistry and Technology,2021,Journal
Oncology,2020,Journal
Genetics,2020,Journal
Cancer Research,2020,Journal
Cultural Studies,2022,Journal
History,2022,Journal
Arts and Humanities (miscellaneous),2022,Journal
Library and Information Sciences,2022,Journal
Pharmacology,2023,Journal
Drug Discovery,2023,Journal
Molecular Biology,2021,Journal
Immunology and Microbiology (miscellaneous),2021,Journal
Genetics,2021,Journal
Multidisciplinary,2022,Journal
Catalysis,2019,Journal
Molecular Biology,2019,Journal
Spectroscopy,2019,Journal
Computer Science Applications,2019,Journal
Physical and Theoretical Chemistry,2019,Journal
Organic Chemistry,2019,Journal
Inorganic Chemistry,2019,Journal
Engineering (all),2022,Journal
Pollution,2019,Journal
"Public Health, Environmental and Occupational Health",2019,Journal
"Health, Toxicology and Mutagenesis",2019,Journal
"Renewable Energy, Sustainability and the Environment",2021,Journal
Fuel Technology,2021,Journal
Condensed Matter Physics,2021,Journal
Energy Engineering and Power Technology,2021,Journal
Multidisciplinary,2023,Journal
Biotechnology,2021,Journal
Bioengineering,2021,Journal
Biochemistry,2021,Journal
Applied Microbiology and Biotechnology,2021,Journal
Molecular Biology,2021,Journal
Biophysics,2018,Journal
Biochemistry,2018,Journal
Molecular Biology,2018,Journal
Chemistry (all),2020,Journal
"Surfaces, Coatings and Films",2020,Journal
Polymers and Plastics,2020,Journal
Materials Chemistry,2020,Journal
Multidisciplinary,2022,Journal
Environmental Chemistry,2020,Journal
Water Science and Technology,2020,Journal
Waste Management and Disposal,2020,Journal
Chemistry (all),2018,Journal
Health Policy,2021,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2020,Journal
Immunology and Microbiology (all),2020,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2020,Journal
Pollution,2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
"Health, Toxicology and Mutagenesis",2022,Journal
Earth and Planetary Sciences (all),2020,Journal
"Ecology, Evolution, Behavior and Systematics",2022,Journal
Ecology,2022,Journal
Plant Science,2022,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Nuclear Energy and Engineering,2022,Journal
Fuel Technology,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Environmental Chemistry,2020,Journal
Immunology,2020,Journal
Aquatic Science,2020,Journal
Immunology and Microbiology (miscellaneous),2020,Journal
Veterinary (all),2018,Journal
Ceramics and Composites,2020,Journal
Dentistry (all),2020,Journal
Chemistry (all),2019,Journal
Chemical Engineering (all),2019,Journal
Physics and Astronomy (all),2019,Journal
Civil and Structural Engineering,2021,Journal
Architecture,2021,Journal
Orthopedics and Sports Medicine,2021,Journal
Social Psychology,2022,Journal
Economics and Econometrics,2022,Journal
Building and Construction,2019,Journal
Geotechnical Engineering and Engineering Geology,2019,Journal
Multidisciplinary,2022,Journal
Agricultural and Biological Sciences (all),2020,Journal
Computational Mechanics,2022,Journal
Materials Science (all),2022,Journal
Geotechnical Engineering and Engineering Geology,2022,Journal
Mechanics of Materials,2022,Journal
Physiology,2020,Book Series
Endocrinology,2020,Book Series
Agricultural and Biological Sciences (all),2021,Journal
"Geography, Planning and Development",2022,Journal
Transportation,2022,Journal
Urban Studies,2022,Journal
Geotechnical Engineering and Engineering Geology,2022,Journal
Soil Science,2022,Journal
Physics and Astronomy (miscellaneous),2021,Journal
Hematology,2021,Journal
Geology,2021,Journal
Earth-Surface Processes,2021,Journal
Dermatology,2019,Journal
Infectious Diseases,2019,Journal
Environmental Chemistry,2018,Journal
Aquatic Science,2018,Journal
Management Information Systems,2023,Journal
Business and International Management,2023,Journal
Strategy and Management,2023,Journal
"Statistics, Probability and Uncertainty",2023,Journal
Management Science and Operations Research,2023,Journal
Multidisciplinary,2021,Journal
Otorhinolaryngology,2022,Journal
"Radiology, Nuclear Medicine and Imaging",2022,Journal
Dentistry (all),2022,Journal
Molecular Medicine,2018,Journal
Pharmaceutical Science,2018,Journal
Drug Discovery,2018,Journal
Human Factors and Ergonomics,2018,Journal
"Physical Therapy, Sports Therapy and Rehabilitation",2018,Journal
"Safety, Risk, Reliability and Quality",2018,Journal
Engineering (miscellaneous),2018,Journal
Multidisciplinary,2021,Journal
Fuel Technology,2022,Journal
Materials Science (miscellaneous),2022,Journal
Process Chemistry and Technology,2022,Journal
Catalysis,2022,Journal
"Atomic and Molecular Physics, and Optics",2021,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Finance,2023,Journal
Immunology and Allergy,2020,Journal
Microbiology,2020,Journal
Immunology,2020,Journal
Veterinary (all),2020,Journal
Infectious Diseases,2020,Journal
Chemistry (all),2022,Journal
Polymers and Plastics,2022,Journal
Biotechnology,2021,Journal
Biophysics,2021,Journal
Biochemistry,2021,Journal
Gastroenterology,2019,Journal
Computer Science (all),2020,Journal
Materials Science (all),2020,Journal
Engineering (all),2020,Journal
Business and International Management,2021,Journal
Economics and Econometrics,2021,Journal
Strategy and Management,2021,Journal
Immunology,2020,Journal
Molecular Medicine,2020,Journal
Pharmacology,2020,Journal
Drug Discovery,2020,Journal
Ceramics and Composites,2019,Journal
Dentistry (all),2019,Journal
Immunology and Allergy,2018,Journal
Immunology,2018,Journal
Infectious Diseases,2018,Journal
Analytical Chemistry,2020,Journal
Fuel Technology,2020,Journal
Materials Science (all),2020,Journal
Instrumentation,2020,Journal
Engineering (all),2020,Journal
Process Chemistry and Technology,2020,Journal
Computer Science Applications,2020,Journal
Fluid Flow and Transfer Processes,2020,Journal
Geriatrics and Gerontology,2022,Journal
Cardiology and Cardiovascular Medicine,2022,Journal
Biotechnology,2022,Journal
Environmental Science (miscellaneous),2022,Journal
Agricultural and Biological Sciences (miscellaneous),2022,Journal
Veterinary (all),2020,Journal
Accounting,2018,Journal
"Pediatrics, Perinatology and Child Health",2021,Journal
Chemistry (all),2018,Journal
Chemical Engineering (all),2018,Journal
Genetics,2020,Journal
Genetics (clinical),2020,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
"Business, Management and Accounting (all)",2022,Journal
Chemical Engineering (miscellaneous),2022,Journal
Environmental Chemistry,2022,Journal
"Radiology, Nuclear Medicine and Imaging",2022,Journal
Acoustics and Ultrasonics,2022,Journal
Organic Chemistry,2022,Journal
Inorganic Chemistry,2022,Journal
Chemistry (all),2021,Journal
Polymers and Plastics,2021,Journal
Neurology (clinical),2021,Journal
Gastroenterology,2021,Journal
Physiology,2021,Journal
Pharmacology,2021,Journal
Dermatology,2021,Journal
Ophthalmology,2019,Journal
Sensory Systems,2019,Journal
Cellular and Molecular Neuroscience,2019,Journal
Medicine (all),2022,Journal
Veterinary (all),2022,Journal
Veterinary (all),2018,Journal
Polymers and Plastics,2018,Journal
Organic Chemistry,2018,Journal
Materials Chemistry,2018,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2023,Journal
Infectious Diseases,2020,Journal
Pharmacology (medical),2020,Journal
Infectious Diseases,2018,Journal
Pharmacology (medical),2018,Journal
Otorhinolaryngology,2021,Journal
Dentistry (all),2021,Journal
Anatomy,2023,Journal
Pathology and Forensic Medicine,2023,Journal
Chemical Engineering (all),2023,Journal
Physical and Theoretical Chemistry,2023,Journal
Polymers and Plastics,2023,Journal
Organic Chemistry,2023,Journal
Materials Chemistry,2023,Journal
Nursing (miscellaneous),2018,Journal
Economics and Econometrics,2023,Journal
Physics and Astronomy (all),2018,Journal
Organic Chemistry,2018,Journal
Polymers and Plastics,2018,Journal
Materials Chemistry,2018,Journal
Nursing (all),2023,Journal
Geotechnical Engineering and Engineering Geology,2019,Journal
Mechanics of Materials,2019,Journal
Metals and Alloys,2019,Journal
Materials Chemistry,2019,Journal
Immunology and Allergy,2019,Journal
Molecular Biology,2019,Journal
Immunology and Microbiology (all),2019,Journal
Microbiology (medical),2019,Journal
Infectious Diseases,2019,Journal
Multidisciplinary,2022,Journal
Infectious Diseases,2023,Journal
Virology,2023,Journal
Analytical Chemistry,2021,Journal
Electrochemistry,2021,Journal
Cardiology and Cardiovascular Medicine,2022,Journal
Physiology (medical),2022,Journal
Organic Chemistry,2020,Journal
Polymers and Plastics,2020,Journal
Materials Chemistry,2020,Journal
Bioengineering,2022,Journal
Biomaterials,2022,Journal
Organic Chemistry,2022,Journal
Polymers and Plastics,2022,Journal
Multidisciplinary,2021,Journal
Food Science,2019,Journal
Multidisciplinary,2021,Journal
Dentistry (all),2021,Journal
Surgery,2022,Journal
Orthopedics and Sports Medicine,2022,Journal
Neurology (clinical),2022,Journal
Aging,2021,Journal
Reproductive Medicine,2021,Journal
Health Policy,2021,Journal
"Public Health, Environmental and Occupational Health",2021,Journal
Psychiatry and Mental Health,2021,Journal
Urology,2021,Journal
Pharmacology (medical),2021,Journal
Biotechnology,2023,Journal
Food Science,2023,Journal
Hematology,2018,Journal
Genetics (clinical),2018,Journal
Nuclear and High Energy Physics,2019,Journal
Molecular Medicine,2019,Journal
Pharmacology,2019,Journal
Pharmaceutical Science,2019,Journal
Drug Discovery,2019,Journal
Complementary and Alternative Medicine,2019,Journal
Veterinary (all),2018,Journal
Chemistry (all),2021,Journal
Finance,2021,Journal
Economics and Econometrics,2021,Journal
Chemical Engineering (all),2020,Journal
Fuel Technology,2020,Journal
Energy Engineering and Power Technology,2020,Journal
Pathology and Forensic Medicine,2023,Journal
"Electronic, Optical and Magnetic Materials",2018,Journal
Instrumentation,2018,Journal
Condensed Matter Physics,2018,Journal
"Surfaces, Coatings and Films",2018,Journal
Metals and Alloys,2018,Journal
Electrical and Electronic Engineering,2018,Journal
Materials Chemistry,2018,Journal
Multidisciplinary,2021,Journal
Epidemiology,2023,Journal
Immunology,2023,Journal
Infectious Diseases,2023,Journal
Virology,2023,Journal
Control and Systems Engineering,2022,Journal
Theoretical Computer Science,2022,Journal
Computational Theory and Mathematics,2022,Journal
Artificial Intelligence,2022,Journal
"Renewable Energy, Sustainability and the Environment",2022,Journal
Fuel Technology,2022,Journal
Condensed Matter Physics,2022,Journal
Energy Engineering and Power Technology,2022,Journal
Immunology and Microbiology (all),2022,Journal
"Public Health, Environmental and Occupational Health",2022,Journal
Infectious Diseases,2022,Journal
Microbiology,2018,Journal
Immunology,2018,Journal
Pharmacology,2018,Journal
Microbiology (medical),2018,Journal
Catalysis,2021,Journal
Computer Science Applications,2021,Journal
Physical and Theoretical Chemistry,2021,Journal
Organic Chemistry,2021,Journal
Computational Theory and Mathematics,2021,Journal
Inorganic Chemistry,2021,Journal
Multidisciplinary,2021,Journal
Clinical Biochemistry,2022,Journal
Business and International Management,2022,Journal
Education,2022,Journal
Genetics (clinical),2021,Journal
Pharmacology (medical),2021,Journal
"Pediatrics, Perinatology and Child Health",2022,Journal
Multidisciplinary,2023,Journal
Critical Care and Intensive Care Medicine,2018,Journal
Periodontics,2018,Journal
Biochemistry,2023,Journal
Molecular Biology,2023,Journal
Plant Science,2023,Journal
Horticulture,2023,Journal
Oncology,2022,Journal
Cancer Research,2022,Journal
Pharmacology,2021,Journal
Pharmaceutical Science,2021,Journal
Pharmacology (medical),2021,Journal
Software,2022,Journal
Industrial and Manufacturing Engineering,2022,Journal
Artificial Intelligence,2022,Journal
Food Science,2023,Journal
Nutrition and Dietetics,2023,Journal
Animal Science and Zoology,2022,Journal
Veterinary (all),2022,Journal
Surfaces and Interfaces,2023,Journal
"Surfaces, Coatings and Films",2023,Journal
Materials Chemistry,2023,Journal
Neurology,2018,Journal
Neurology (clinical),2018,Journal
Energy (all),2021,Journal
Pharmacology,2019,Journal
Neurology (clinical),2019,Journal
Pharmacology (medical),2019,Journal
Parasitology,2020,Journal
Infectious Diseases,2020,Journal
Chemical Engineering (miscellaneous),2018,Journal
Waste Management and Disposal,2018,Journal
Pollution,2018,Journal
Process Chemistry and Technology,2018,Journal
Critical Care and Intensive Care Medicine,2020,Journal
Gastroenterology,2020,Journal
Pharmacology,2018,Journal
Drug Discovery,2018,Journal
Chemistry (all),2020,Book
Chemical Engineering (all),2021,Journal
Materials Science (all),2021,Journal
Chemistry (miscellaneous),2023,Journal
Chemical Engineering (all),2023,Journal
Materials Science (miscellaneous),2023,Journal
Engineering (all),2021,Book
Neurology,2022,Journal
Neurology (clinical),2022,Journal
Materials Science (all),2018,Journal
Mechanics of Materials,2018,Journal
Mechanical Engineering,2018,Journal
Management Information Systems,2020,Journal
Finance,2020,Journal
Economics and Econometrics,2020,Journal
Multidisciplinary,2021,Journal
Agricultural and Biological Sciences (all),2022,Book
Oceanography,2023,Journal
Aquatic Science,2023,Journal
Pollution,2023,Journal
Analytical Chemistry,2018,Journal
Molecular Medicine,2018,Journal
Pharmacology,2018,Journal
Pharmaceutical Science,2018,Journal
Drug Discovery,2018,Journal
Complementary and Alternative Medicine,2018,Journal
Organic Chemistry,2018,Journal
"Radiology, Nuclear Medicine and Imaging",2021,Journal
Nursing (all),2018,Journal
Biochemistry,2021,Journal
Molecular Biology,2021,Journal
Genetics,2021,Journal
Cancer Research,2021,Journal
Immunology,2022,Journal
Pharmacology,2022,Journal
Drug Discovery,2022,Journal
Infectious Diseases,2022,Journal
Pharmacology (medical),2022,Journal
Epidemiology,2023,Journal
Microbiology (medical),2023,Journal
Infectious Diseases,2023,Journal
Drug Discovery,2019,Journal
"Biochemistry, Genetics and Molecular Biology (all)",2019,Journal
Veterinary (all),2019,Journal
"Pharmacology, Toxicology and Pharmaceutics (all)",2019,Journal
Catalysis,2018,Journal
Chemical Engineering (all),2018,Journal
Education,2022,Journal
